,avg_dist_to_center,avg_pairwise_distance,std_pairwise_distance,min_pairwise_distance,max_pairwise_distance,cs_density_std,cluster_count,coverage_ratio,max_gap_distance,gini_coefficient,avg_betweenness_centrality
avg_dist_to_center,1.0,0.9902213188798554,0.9304652213188799,0.3620144534778681,0.5696702800361337,-0.45573622402890696,0.10036550806162091,0.59936766034327,-0.6168925022583559,-0.5411472448057814,-0.08265582655826559
avg_pairwise_distance,0.9902213188798554,1.0,0.9523261065943993,0.3684281842818428,0.5952800361336946,-0.4661698283649503,0.11700054993070293,0.5937443541102078,-0.6065266485998193,-0.5535456187895212,-0.09080849141824751
std_pairwise_distance,0.9304652213188799,0.9523261065943993,1.0,0.2948509485094851,0.5787714543812105,-0.3750903342366757,0.11817905425930274,0.5263775971093044,-0.524074074074074,-0.4606594399277326,-0.08462059620596206
min_pairwise_distance,0.3620144534778681,0.3684281842818428,0.2948509485094851,1.0,0.3503613369467028,-0.48879855465221317,0.19513312056239268,0.38737579042457093,-0.4699638663053297,-0.46384372177055105,-0.013256549232158988
max_pairwise_distance,0.5696702800361337,0.5952800361336946,0.5787714543812105,0.3503613369467028,1.0,-0.3592592592592593,0.19606232589840408,0.45004516711833786,-0.4281391147244806,-0.30982384823848236,-0.012556458897922312
cs_density_std,-0.45573622402890696,-0.4661698283649503,-0.3750903342366757,-0.48879855465221317,-0.3592592592592593,1.0,-0.4492367846443377,-0.5424119241192412,0.5921183378500452,0.7394083107497742,0.05103884372177055
cluster_count,0.10036550806162091,0.11700054993070293,0.11817905425930274,0.19513312056239268,0.19606232589840408,-0.4492367846443377,1.0,0.24372376057235434,-0.21839724927984866,-0.16224831708550164,-0.04108900668752821
coverage_ratio,0.59936766034327,0.5937443541102078,0.5263775971093044,0.38737579042457093,0.45004516711833786,-0.5424119241192412,0.24372376057235434,1.0,-0.5198057813911472,-0.5678410117434508,-0.13615627822944895
max_gap_distance,-0.6168925022583559,-0.6065266485998193,-0.524074074074074,-0.4699638663053297,-0.4281391147244806,0.5921183378500452,-0.21839724927984866,-0.5198057813911472,1.0,0.7176151761517615,0.0505420054200542
gini_coefficient,-0.5411472448057814,-0.5535456187895212,-0.4606594399277326,-0.46384372177055105,-0.30982384823848236,0.7394083107497742,-0.16224831708550164,-0.5678410117434508,0.7176151761517615,1.0,0.07513550135501355
avg_betweenness_centrality,-0.08265582655826559,-0.09080849141824751,-0.08462059620596206,-0.013256549232158988,-0.012556458897922312,0.05103884372177055,-0.04108900668752821,-0.13615627822944895,0.0505420054200542,0.07513550135501355,1.0
